date	q
01/01/2010	1828.4961
02/01/2010	1810.392178
03/01/2010	1801.47399
04/01/2010	1792.643235
05/01/2010	1783.898634
06/01/2010	1775.238932
07/01/2010	1766.662899
08/01/2010	1758.169327
09/01/2010	1749.757033
10/01/2010	1741.424857
11/01/2010	1733.171659
12/01/2010	1724.996321
13/01/2010	1716.897746
14/01/2010	1708.87486
15/01/2010	1700.926605
16/01/2010	1693.051944
17/01/2010	1685.249862
18/01/2010	1677.519358
19/01/2010	1669.859452
20/01/2010	1662.269182
21/01/2010	1654.747602
22/01/2010	1647.293784
23/01/2010	1639.906816
24/01/2010	1632.585804
25/01/2010	1625.329867
26/01/2010	1618.138142
27/01/2010	1611.00978
28/01/2010	1603.943947
29/01/2010	1596.939825
30/01/2010	1589.996609
31/01/2010	1583.113506
01/02/2010	1576.289741
02/02/2010	1569.524549
03/02/2010	1562.817179
04/02/2010	1556.166894
05/02/2010	1549.572966
06/02/2010	1543.034684
07/02/2010	1536.551345
08/02/2010	1530.122259
09/02/2010	1523.74675
10/02/2010	1517.424149
11/02/2010	1511.153802
12/02/2010	1504.935062
13/02/2010	1498.767295
14/02/2010	1492.649878
15/02/2010	1486.582195
16/02/2010	1480.563644
17/02/2010	1474.593629
18/02/2010	1468.671566
19/02/2010	1462.79688
20/02/2010	1456.969004
21/02/2010	1451.187381
22/02/2010	1445.451462
23/02/2010	1439.760709
24/02/2010	1434.114588
25/02/2010	1428.512578
26/02/2010	1422.954163
27/02/2010	1417.438837
28/02/2010	1411.9661
01/03/2010	1406.535462
02/03/2010	1401.146437
03/03/2010	1395.79855
04/03/2010	1390.491331
05/03/2010	1385.224318
06/03/2010	1379.997057
07/03/2010	1374.809098
08/03/2010	1369.66
09/03/2010	1364.549328
10/03/2010	1359.476654
11/03/2010	1354.441556
12/03/2010	1349.443616
13/03/2010	1344.482426
14/03/2010	1339.557582
15/03/2010	1334.668686
16/03/2010	1329.815345
17/03/2010	1324.997174
18/03/2010	1320.213791
19/03/2010	1315.46482
20/03/2010	1310.749892
21/03/2010	1306.068643
22/03/2010	1301.420712
23/03/2010	1296.805745
24/03/2010	1292.223392
25/03/2010	1287.67331
26/03/2010	1283.155158
27/03/2010	1278.668601
28/03/2010	1274.21331
29/03/2010	1269.788958
30/03/2010	1265.395225
31/03/2010	1261.031793
01/04/2010	1256.698351
02/04/2010	1252.394589
03/04/2010	1248.120205
04/04/2010	1243.874898
05/04/2010	1239.658373
06/04/2010	1235.470338
07/04/2010	1231.310505
08/04/2010	1227.178591
09/04/2010	1223.074314
10/04/2010	1218.9974
11/04/2010	1214.947575
12/04/2010	1210.92457
13/04/2010	1206.928119
14/04/2010	1202.957961
15/04/2010	1199.013836
16/04/2010	1195.09549
17/04/2010	1191.202671
18/04/2010	1187.33513
19/04/2010	1183.492621
20/04/2010	1179.674903
